Марка,Модель,Годы выпуска,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Alfa Romeo,Stelvio,2017–н.в.,2.9 L,Бензин,510,
Alfa Romeo,Tonale,2022–н.в.,1.3 L,Бензин,150,
Alfa Romeo,Tonale,2022–н.в.,1.3 L,Гибрид,275,15.5
Ferrari,Testarossa,1984–1996,4.9 L,Бензин,390,
Ferrari,F355,1994–1999,3.5 L,Бензин,380,
Ferrari,360 Modena,1999–2005,3.6 L,Бензин,400,
Ferrari,F430,2004–2009,4.3 L,Бензин,490,
Ferrari,458 Italia,2009–2015,4.5 L,Бензин,570,
Ferrari,488 GTB,2015–2020,3.9 L,Бензин,670,
Ferrari,F8 Tributo,2019–2023,3.9 L,Бензин,720,
Ferrari,Roma,2020–н.в.,3.9 L,Бензин,620,
Ferrari,SF90 Stradale,2019–н.в.,4.0 L,Гибрид,1000,7.9
Ferrari,Purosangue,2022–н.в.,3.9 L,Бензин,725,
Ferrari,Enzo,2002–2004,6.0 L,Бензин,660,
Ferrari,LaFerrari,2013–2018,6.3 L,Гибрид,963,2.9
Lamborghini,Countach,1974–1990,5.2 L,Бензин,455,
Lamborghini,Diablo,1990–2001,5.7 L,Бензин,492,
Lamborghini,Murciélago,2001–2010,6.5 L,Бензин,640,
Lamborghini,Gallardo,2003–2013,5.0 L,Бензин,520,
Lamborghini,Huracán,2014–2024,5.2 L,Бензин,640,
Lamborghini,Aventador,2011–2022,6.5 L,Бензин,780,
Lamborghini,Urus,2018–н.в.,4.0 L,Бензин,650,
Lamborghini,Revuelto,2023–н.в.,6.5 L,Гибрид,830,15
Maserati,Biturbo,1981–1994,2.8 L,Бензин,250,
Maserati,3200 GT,1998–2002,3.2 L,Бензин,370,
Maserati,Coupe,2001–2007,4.2 L,Бензин,390,
Maserati,GranTurismo,2007–2019,4.7 L,Бензин,460,
Maserati,Quattroporte V,2003–2012,4.7 L,Бензин,430,
Maserati,Quattroporte VI,2013–2021,3.8 L,Бензин,530,
Maserati,Ghibli III,2013–2024,3.0 L,Бензин,350,
Maserati,Levante,2016–н.в.,3.0 L,Бензин,585,
Maserati,MC20,2020–н.в.,3.0 L,Бензин,630,
Maserati,Grecale,2022–н.в.,2.0 L,Бензин,300,
Maserati,Folgore,2023–н.в.,0.0 L,Электро,760,95.5
Lancia,Beta,1972–1984,2.0 L,Бензин,130,
Lancia,Delta I,1979–1994,2.0 L,Бензин,130,
Lancia,Delta II,2008–2014,1.4 L,Бензин,120,
Lancia,Delta HF Integrale,1987–1994,2.0 L,Бензин,215,
Lancia,Thema I,1984–1994,3.0 L,Бензин,180,
Lancia,Thema II,2011–2014,2.0 L,Бензин,200,
Lancia,Ypsilon I,1995–2003,1.2 L,Бензин,60,
Lancia,Ypsilon II,2003–2011,1.4 L,Бензин,95,
Lancia,Ypsilon III,2011–н.в.,1.2 L,Бензин,69,
Lancia,Ypsilon III,2011–н.в.,0.9 L,Бензин,85,
Lancia,Fulvia,1967–1976,1.6 L,Бензин,130,
Pagani,Zonda,1999–2017,7.3 L,Бензин,602,
Pagani,Huayra,2011–2023,6.0 L,Бензин,740,
Pagani,Utopia,2023–н.в.,6.0 L,Бензин,864,
