Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Mazda,Premacy/Mazda5 II,2005–2010,CR,2.0 L,Бензин,145,
Mazda,Premacy/Mazda5 III,2010–2018,CP,2.0 L,Бензин,150,
Mazda,Tribute,2000–2011,EP,3.0 L,Бензин,200,
Mazda,CX-3,2015–2022,DJ,2.0 L,Бензин,148,
Mazda,CX-30,2019–н.в.,DM,2.5 L,Бензин,194,
Mazda,CX-5 I,2012–2016,KE,2.5 L,Бензин,184,
Mazda,CX-5 II,2017–н.в.,KF,2.5 L,Бензин,194,
Mazda,CX-7,2006–2012,ER,2.3 L,Бензин,244,
Mazda,CX-8,2017–н.в.,KU,2.5 L,Бензин,194,
Mazda,CX-9 I,2006–2015,AJ,3.7 L,Бензин,273,
Mazda,CX-9 II,2016–н.в.,TC,2.5 L,Бензин,227,
Mazda,CX-60,2022–н.в.,,3.3 L,Гибрид,323,17.8
Mazda,CX-90,2023–н.в.,,3.3 L,Гибрид,323,17.8
Mazda,MX-30,2020–н.в.,,0.0 L,Электро,143,35.5
Mazda,BT-50 I,2006–2011,UP,3.0 L,Дизель,163,
Mazda,BT-50 II,2011–2020,UP,3.2 L,Дизель,200,
Mazda,BT-50 III,2020–н.в.,,3.0 L,Дизель,190,
Mazda,Bongo,1966–н.в.,,2.0 L,Дизель,100,
Mazda,Titan,1971–н.в.,,3.0 L,Дизель,130,
Mazda,Carol (HA),1989–1998,HA,0.7 L,Бензин,54,
Mazda,Carol (HB),1998–2004,HB,0.7 L,Бензин,54,
Mazda,Carol (HD),2004–н.в.,HD,0.7 L,Бензин,54,
Mazda,Flair,2012–н.в.,HA25S,0.7 L,Бензин,54,
Mazda,Demio/Mazda2 I,1996–2002,DW,1.3 L,Бензин,85,
Mazda,Demio/Mazda2 II,2002–2007,DE,1.5 L,Бензин,103,
Mazda,Demio/Mazda2 III,2007–2014,DE,1.5 L,Бензин,115,
Mazda,Demio/Mazda2 IV,2014–2020,DJ,1.5 L,Бензин,115,
Mazda,Demio/Mazda2 V,2020–н.в.,DJ,1.5 L,Бензин,115,
Mazda,Azoff,1990–1998,AA,1.5 L,Бензин,90,
Mazda,Eunos Cosmo,1990–1995,JC,2.0 L,Роторный,280,
Mazda,Eunos Roadster,1989–1993,NA,1.6 L,Бензин,116,
Mitsubishi,Colt 600,1962–1965,,0.6 L,Бензин,33,
Mitsubishi,Colt 1000,1965–1970,,1.0 L,Бензин,55,
Mitsubishi,Colt I,1978–1984,A150,1.4 L,Бензин,75,
Mitsubishi,Colt II,1984–1988,C10/C30,1.5 L,Бензин,90,
Mitsubishi,Colt III,1988–1991,C50/C60,1.6 L,Бензин,110,
Mitsubishi,Colt IV,1991–1995,C70/C80,1.6 L,Бензин,110,
Mitsubishi,Colt V,1995–2002,CJ/CK,1.6 L,Бензин,110,
Mitsubishi,Colt VI,2002–2012,Z30/Z40,1.5 L,Бензин,109,
Mitsubishi,Colt VII,2023–н.в.,,1.6 L,Гибрид,145,1.9
Mitsubishi,Lancer I,1973–1979,A70,1.4 L,Бензин,75,
Mitsubishi,Lancer II,1979–1983,A170,1.6 L,Бензин,90,
Mitsubishi,Lancer III,1983–1987,C10/C30,1.8 L,Бензин,110,
Mitsubishi,Lancer IV,1987–1991,C50/C60,2.0 L,Бензин,135,
Mitsubishi,Lancer V,1991–1995,CB/CC,2.0 L,Бензин,135,
Mitsubishi,Lancer VI,1995–2000,CK/CM,2.0 L,Бензин,135,
Mitsubishi,Lancer VII,2000–2003,CS/CT,2.0 L,Бензин,136,
Mitsubishi,Lancer VIII,2003–2007,CT/CM,2.0 L,Бензин,150,
Mitsubishi,Lancer IX,2007–2017,CZ/DA,2.0 L,Бензин,150,
Mitsubishi,Lancer Evolution I,1992–1993,CD9A,2.0 L,Бензин,250,
Mitsubishi,Lancer Evolution II,1994–1995,CD9A,2.0 L,Бензин,260,
Mitsubishi,Lancer Evolution III,1995–1996,CE9A,2.0 L,Бензин,270,
Mitsubishi,Lancer Evolution IV,1996–1998,CN9A,2.0 L,Бензин,280,
Mitsubishi,Lancer Evolution V,1998–1999,CP9A,2.0 L,Бензин,280,
Mitsubishi,Lancer Evolution VI,1999–2001,CP9A,2.0 L,Бензин,280,
Mitsubishi,Lancer Evolution VII,2001–2003,CT9A,2.0 L,Бензин,280,
Mitsubishi,Lancer Evolution VIII,2003–2005,CT9A,2.0 L,Бензин,280,
Mitsubishi,Lancer Evolution IX,2005–2007,CT9A,2.0 L,Бензин,291,
Mitsubishi,Lancer Evolution X,2007–2016,CZ4A,2.0 L,Бензин,291,
Mitsubishi,Galant I,1969–1973,A130,1.5 L,Бензин,80,
Mitsubishi,Galant II,1973–1976,A140,1.6 L,Бензин,90,
Mitsubishi,Galant III,1976–1980,A160,2.0 L,Бензин,100,
Mitsubishi,Galant IV,1980–1983,A170,2.0 L,Бензин,110,
Mitsubishi,Galant V,1983–1987,E10/E30,2.0 L,Бензин,120,
Mitsubishi,Galant VI,1987–1992,E50/E70,2.0 L,Бензин,140,
Mitsubishi,Galant VII,1992–1996,E80/E90,2.5 L,Бензин,170,
Mitsubishi,Galant VIII,1996–2003,EA/EC,3.0 L,Бензин,210,
Mitsubishi,Galant IX,2003–2012,EU/EW,3.8 L,Бензин,230,
Mitsubishi,Pajero/Montero I,1982–1991,L040/L140,3.0 L,Бензин,150,
Mitsubishi,Pajero/Montero II,1991–1999,V20/V40,3.5 L,Бензин,205,
Mitsubishi,Pajero/Montero III,1999–2006,V60/V80,3.8 L,Бензин,247,
Mitsubishi,Pajero/Montero IV,2006–2021,V90/VB0,3.8 L,Бензин,247,
Mitsubishi,Pajero Sport I,1996–2008,K0/K1,3.0 L,Дизель,163,
Mitsubishi,Pajero Sport II,2008–2015,K7/K8,3.2 L,Дизель,200,
Mitsubishi,Pajero Sport III,2015–н.в.,K9,2.4 L,Дизель,181,
Mitsubishi,Outlander I,2001–2005,CT/CM,2.4 L,Бензин,160,
Mitsubishi,Outlander II,2005–2012,ZE/ZF,2.4 L,Бензин,168,
Mitsubishi,Outlander III,2012–2021,ZG/ZJ,2.4 L,Бензин,166,
Mitsubishi,Outlander IV,2021–н.в.,GN,2.5 L,Гибрид,248,13.8
Mitsubishi,Eclipse I,1989–1994,D21/D27,2.0 L,Бензин,140,
Mitsubishi,Eclipse II,1994–1999,D27A/D27B,2.0 L,Бензин,210,
Mitsubishi,Eclipse III,1999–2005,3G,3.0 L,Бензин,200,
Mitsubishi,Eclipse IV,2006–2011,4G,3.8 L,Бензин,265,
Mitsubishi,3000GT,1990–2001,Z16A/Z15A,3.0 L,Бензин,300,
Mitsubishi,i-MiEV,2009–2021,,0.0 L,Электро,64,16
Mitsubishi,eK,2001–н.в.,,0.7 L,Бензин,54,
Mitsubishi,Minica,1962–2011,,0.7 L,Бензин,54,
Mitsubishi,Toppo,1990–2013,,0.7 L,Бензин,54,
Mitsubishi,Diamante,1990–2005,,3.0 L,Бензин,200,
Mitsubishi,Debonair,1964–1999,,3.0 L,Бензин,170,
Mitsubishi,Delica I,1968–1979,,2.0 L,Дизель,75,
Mitsubishi,Delica II,1979–1994,,2.5 L,Дизель,85,
Mitsubishi,Delica III,1994–2007,,2.8 L,Дизель,100,
Mitsubishi,Delica D:5,2007–н.в.,,2.2 L,Дизель,145,
Mitsubishi,Canter,1963–н.в.,,3.0 L,Дизель,130,
Mitsubishi,Fuso Canter,1980–н.в.,,4.0 L,Дизель,160,
Nissan,Skyline I,1957–1963,,1.5 L,Бензин,60,
Nissan,Skyline II,1963–1968,,1.8 L,Бензин,90,
Nissan,Skyline C10,1968–1972,C10,2.0 L,Бензин,130,
Nissan,Skyline C110,1972–1977,C110,2.0 L,Бензин,130,
Nissan,Skyline C210,1977–1981,C210,2.0 L,Бензин,145,
Nissan,Skyline R30,1981–1985,R30,2.0 L,Бензин,150,
Nissan,Skyline R31,1985–1989,R31,2.0 L,Бензин,160,
Nissan,Skyline R32,1989–1994,R32,2.6 L,Бензин,280,
Nissan,Skyline R33,1993–1998,R33,2.6 L,Бензин,280,
Nissan,Skyline R34,1998–2002,R34,2.6 L,Бензин,280,
Nissan,Skyline V35,2001–2006,V35,3.5 L,Бензин,280,
Nissan,Skyline V36,2006–2013,V36,3.7 L,Бензин,330,
Nissan,Skyline V37,2013–2021,V37,3.0 L,Бензин,405,
Nissan,GTR R32,1989–1994,BNR32,2.6 L,Бензин,280,
Nissan,GTR R33,1995–1998,BCNR33,2.6 L,Бензин,280,
Nissan,GTR R34,1999–2002,BNR34,2.6 L,Бензин,280,
Nissan,GTR R35,2007–н.в.,Z34,3.8 L,Бензин,572,
Nissan,240Z,1969–1973,S30,2.4 L,Бензин,151,
Nissan,260Z,1974–1978,S30/S130,2.6 L,Бензин,162,
Nissan,280Z,1975–1978,S130,2.8 L,Бензин,170,
Nissan,280ZX,1978–1983,S130,2.8 L,Бензин,180,
Nissan,300ZX (Z31),1983–1989,Z31,3.0 L,Бензин,200,
Nissan,300ZX (Z32),1989–2000,Z32,3.0 L,Бензин,300,
Nissan,350Z,2002–2009,Z33,3.5 L,Бензин,300,
Nissan,370Z,2008–2020,Z34,3.7 L,Бензин,332,
Nissan,Z (RZ34),2021–н.в.,RZ34,3.0 L,Бензин,400,
Nissan,Patrol I,1951–1960,,3.7 L,Бензин,105,
Nissan,Patrol II,1960–1980,,4.2 L,Бензин,120,
Nissan,Patrol III,1980–1997,MQ/MK,4.2 L,Бензин,160,
Nissan,Patrol IV,1997–2010,Y61,4.8 L,Бензин,240,
Nissan,Patrol V,2010–н.в.,Y62,5.6 L,Бензин,400,
Nissan,Pathfinder I,1985–1995,D21,3.0 L,Бензин,153,
Nissan,Pathfinder II,1995–2004,R50,3.3 L,Бензин,240,
Nissan,Pathfinder III,2004–2012,R51,4.0 L,Бензин,266,
Nissan,Pathfinder IV,2012–2021,R52,3.5 L,Бензин,284,
Nissan,Pathfinder V,2021–н.в.,R53,3.5 L,Бензин,285,
Nissan,X-Trail I,2000–2007,T30,2.0 L,Бензин,150,
Nissan,X-Trail II,2007–2013,T31,2.0 L,Бензин,141,
Nissan,X-Trail III,2013–2020,T32,2.0 L,Бензин,144,
Nissan,X-Trail IV,2020–н.в.,T33,1.5 L,Гибрид,211,1.5
Nissan,Qashqai I,2006–2013,J10,2.0 L,Бензин,141,
Nissan,Qashqai II,2013–2021,J11,1.3 L,Бензин,160,
Nissan,Qashqai III,2021–н.в.,J12,1.3 L,Бензин,158,
Nissan,Rogue I,2007–2013,S35,2.5 L,Бензин,170,
Nissan,Rogue II,2013–2020,S55,2.5 L,Бензин,170,
Nissan,Rogue III,2020–н.в.,T33,1.5 L,Бензин,201,
Nissan,Leaf I,2010–2017,ZE0,0.0 L,Электро,109,24
Nissan,Leaf II,2017–2024,ZE1,0.0 L,Электро,148,40
Nissan,Leaf Plus,2019–2024,ZE1,0.0 L,Электро,214,62
Nissan,Ariya,2022–н.в.,,0.0 L,Электро,394,91
Nissan,Altima I,1992–1997,L30,2.4 L,Бензин,150,
Nissan,Altima II,1997–2001,L30,2.5 L,Бензин,170,
Nissan,Altima III,2001–2006,L31,3.5 L,Бензин,245,
Nissan,Altima IV,2006–2012,L32,3.5 L,Бензин,270,
Nissan,Altima V,2012–2018,L33,3.5 L,Бензин,270,
Nissan,Altima VI,2018–н.в.,L34,2.5 L,Бензин,188,
Nissan,Maxima I,1981–1984,G70,2.4 L,Бензин,120,
Nissan,Maxima II,1984–1988,G80,3.0 L,Бензин,160,
Nissan,Maxima III,1988–1994,J30,3.0 L,Бензин,200,
Nissan,Maxima IV,1994–2000,A32,3.0 L,Бензин,222,
Nissan,Maxima V,2000–2003,A33,3.5 L,Бензин,255,
Nissan,Maxima VI,2003–2008,A34,3.5 L,Бензин,255,
Nissan,Maxima VII,2008–2015,A35,3.5 L,Бензин,290,
Nissan,Maxima VIII,2015–н.в.,A36,3.5 L,Бензин,300,
Nissan,Sentra I,1982–1986,B11,1.6 L,Бензин,90,
Nissan,Sentra II,1986–1990,B12,1.6 L,Бензин,100,
Nissan,Sentra III,1990–1994,B13,1.6 L,Бензин,110,
Nissan,Sentra IV,1994–1999,B14,1.6 L,Бензин,110,
Nissan,Sentra V,1999–2006,B15,1.8 L,Бензин,125,
Nissan,Sentra VI,2006–2012,B16,2.0 L,Бензин,140,
Nissan,Sentra VII,2012–2019,B17,1.8 L,Бензин,130,
Nissan,Sentra VIII,2019–н.в.,B18,2.0 L,Бензин,149,
Nissan,Note I,2004–2012,E11,1.4 L,Бензин,88,
