Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Chevrolet,Blazer II,1995–2005,GMT400,4.3 L,Бензин,200,
Chevrolet,Blazer III,2019–н.в.,,3.6 L,Бензин,308,
Chevrolet,Trailblazer I,2002–2009,GMT360,4.2 L,Бензин,275,
Chevrolet,Trailblazer II,2021–н.в.,,1.3 L,Бензин,155,
Chevrolet,Traverse,2009–н.в.,,3.6 L,Бензин,310,
Chevrolet,Express,1996–н.в.,,6.0 L,Бензин,341,
Chevrolet,Bolt EV,2017–2023,,0.0 L,Электро,200,65
Chevrolet,Bolt EUV,2022–2023,,0.0 L,Электро,200,65
Chevrolet,Blazer EV,2024–н.в.,,0.0 L,Электро,340,102
Chevrolet,Silverado EV,2024–н.в.,,0.0 L,Электро,664,200
Chrysler,300M,1999–2004,LH,3.5 L,Бензин,253,
Chrysler,300 I,2005–2010,LD,5.7 L,Бензин,345,
Chrysler,300 II,2011–2023,LD,5.7 L,Бензин,363,
Chrysler,300C,2005–2023,LD,6.4 L,Бензин,470,
Chrysler,Pacifica,2017–н.в.,,3.6 L,Бензин,287,
Chrysler,Pacifica Hybrid,2017–н.в.,,3.6 L,Гибрид,260,16
Chrysler,Voyager,1984–2003,S,3.3 L,Бензин,150,
Chrysler,Town & Country,1990–2016,NS,3.8 L,Бензин,215,
Chrysler,PT Cruiser,2000–2010,PL,2.4 L,Бензин,150,
Chrysler,Sebring,1995–2010,JX/JK,2.7 L,Бензин,185,
Chrysler,Aspen,2007–2009,GS,5.7 L,Бензин,335,
Dodge,Charger I,1966–1978,B-Body,7.2 L,Бензин,425,
Dodge,Charger II,2006–2010,LX,5.7 L,Бензин,370,
Dodge,Charger III,2011–2023,LX,6.4 L,Бензин,485,
Dodge,Charger SRT Hellcat,2015–2023,LX,6.2 L,Бензин,707,
Dodge,Charger Daytona,2024–н.в.,,0.0 L,Электро,670,100
Dodge,Challenger I,1970–1974,E-Body,7.0 L,Бензин,425,
Dodge,Challenger II,2008–2023,LC,6.4 L,Бензин,485,
Dodge,Challenger SRT Hellcat,2015–2023,LC,6.2 L,Бензин,717,
Dodge,Viper,1992–2017,SR I/II,8.4 L,Бензин,645,
Dodge,Durango I,1998–2003,AN,5.9 L,Бензин,250,
Dodge,Durango II,2004–2009,WD,5.7 L,Бензин,335,
Dodge,Durango III,2011–2023,WD,6.4 L,Бензин,475,
Dodge,Journey,2009–2020,MK,3.6 L,Бензин,283,
Dodge,Avenger,2008–2014,JS,3.6 L,Бензин,283,
Dodge,Caliber,2007–2012,PM/MK,2.4 L,Бензин,172,
Dodge,Dart,2013–2016,PB,2.4 L,Бензин,184,
Dodge,Neon,1995–2005,PL,2.0 L,Бензин,132,
Dodge,Intrepid,1993–2004,LH,3.5 L,Бензин,242,
Dodge,Stratus,1995–2006,JX/JK,2.7 L,Бензин,185,
Dodge,Ram 1500 I,1994–2001,DN,5.9 L,Бензин,230,
Dodge,Ram 1500 II,2002–2008,DS,5.7 L,Бензин,345,
Ford,F-150 I,1975–1979,F-Series,5.8 L,Бензин,220,
Ford,F-150 II,1980–1986,F-Series,5.8 L,Бензин,210,
Ford,F-150 III,1987–1991,F-Series,5.8 L,Бензин,210,
Ford,F-150 IV,1992–1996,F-Series,5.8 L,Бензин,240,
Ford,F-150 V,1997–2003,F-Series,5.4 L,Бензин,260,
Ford,F-150 VI,2004–2008,F-Series,5.4 L,Бензин,300,
Ford,F-150 VII,2009–2014,F-Series,6.2 L,Бензин,411,
Ford,F-150 VIII,2015–2020,F-Series,3.5 L,Бензин,375,
Ford,F-150 IX,2021–н.в.,F-Series,3.5 L,Бензин,400,
Ford,F-150 Lightning,2022–н.в.,,0.0 L,Электро,580,131
Ford,Mustang I,1964–1973,First Gen,4.7 L,Бензин,271,
Ford,Mustang II,1974–1978,Second Gen,5.0 L,Бензин,140,
Ford,Mustang III,1979–1993,Third Gen,5.0 L,Бензин,225,
Ford,Mustang IV,1994–2004,SN-95,4.6 L,Бензин,320,
Ford,Mustang V,2005–2014,S197,4.6 L,Бензин,300,
Ford,Mustang VI Shelby GT350,2015–2023,S550,5.2 L,Бензин,526,
Ford,Mustang VII,2024–н.в.,S650,5.0 L,Бензин,480,
Ford,Mustang Mach-E,2021–н.в.,,0.0 L,Электро,480,91
Ford,Mustang Shelby GT500,2020–2023,S550,5.2 L,Бензин,760,
Ford,Bronco I,1966–1977,U13/U15,5.8 L,Бензин,205,
Ford,Bronco II,1984–1990,U13/U15,2.9 L,Бензин,140,
Ford,Bronco III,2021–н.в.,U725,2.7 L,Бензин,330,
Ford,Ranger I,1983–1992,P72,4.0 L,Бензин,160,
Ford,Ranger II,1993–1997,P150,4.0 L,Бензин,160,
Ford,Ranger III,1998–2011,P251,4.0 L,Бензин,207,
Ford,Ranger IV,2019–н.в.,P703,2.3 L,Бензин,270,
Ford,Explorer I,1991–1994,UN46,4.0 L,Бензин,160,
Ford,Explorer II,1995–2001,UN93,4.0 L,Бензин,210,
Ford,Explorer III,2002–2005,UN127,4.6 L,Бензин,300,
Ford,Explorer IV,2006–2010,UN133,4.6 L,Бензин,300,
Ford,Explorer V,2011–2019,U502,3.5 L,Бензин,365,
Ford,Explorer VI,2020–н.в.,U622,3.0 L,Бензин,400,
Ford,Escape I,2001–2007,CD2,3.0 L,Бензин,200,
Ford,Escape II,2008–2012,CD4,3.0 L,Бензин,240,
Ford,Escape III,2013–2019,CD4,2.0 L,Бензин,250,
Ford,Escape IV,2020–н.в.,C519,2.0 L,Бензин,250,
Ford,Escape Hybrid,2005–н.в.,CD2/CD4,2.5 L,Гибрид,200,1.3
Ford,Edge,2007–н.в.,CD4,3.5 L,Бензин,280,
Ford,Expedition I,1997–2002,UN93,5.4 L,Бензин,240,
Ford,Expedition II,2003–2006,UN127,5.4 L,Бензин,300,
Ford,Expedition III,2007–2017,UN133,5.4 L,Бензин,310,
Ford,Expedition IV,2018–н.в.,U725,3.5 L,Бензин,400,
Ford,Focus I,1998–2004,C170,2.0 L,Бензин,130,
Ford,Focus II,2005–2011,C307,2.0 L,Бензин,143,
Ford,Focus III,2011–2018,C346,2.0 L,Бензин,160,
Ford,Focus IV,2018–2022,C519,1.5 L,Бензин,182,
Ford,Fiesta I,1976–1983,Mk1,1.6 L,Бензин,96,
Ford,Fiesta II,1983–1989,Mk2,1.6 L,Бензин,96,
Ford,Fiesta III,1989–1995,Mk3,1.6 L,Бензин,105,
Ford,Fiesta IV,1995–2002,Mk4,1.6 L,Бензин,100,
Ford,Fiesta V,2002–2008,Mk5,1.6 L,Бензин,100,
Ford,Fiesta VI,2008–2017,Mk6,1.6 L,Бензин,120,
Ford,Fiesta VII,2017–2023,Mk7,1.0 L,Бензин,125,
Ford,Fusion I,2006–2009,CD3,3.0 L,Бензин,221,
Ford,Fusion II,2010–2012,CD4,3.5 L,Бензин,281,
Ford,Fusion III,2013–2020,CD4,2.0 L,Бензин,245,
Ford,Mondeo I,1993–1996,Mk1,2.0 L,Бензин,125,
Ford,Mondeo II,1996–2000,Mk2,2.5 L,Бензин,170,
Ford,Mondeo III,2000–2007,Mk3,3.0 L,Бензин,221,
Ford,Mondeo IV,2007–2014,Mk4,3.5 L,Бензин,285,
Ford,Mondeo V,2014–2022,Mk5,2.0 L,Бензин,240,
Ford,Taurus I,1986–1991,DN5,3.8 L,Бензин,140,
Ford,Taurus II,1992–1995,DN101,3.8 L,Бензин,220,
Ford,Taurus III,1996–2007,DN101,3.0 L,Бензин,200,
Ford,Taurus IV,2008–2019,D347,3.5 L,Бензин,288,
Ford,Crown Victoria,1992–2011,Panther,4.6 L,Бензин,239,
Ford,GT40,1964–1969,,4.7 L,Бензин,350,
Ford,GT I,2005–2006,,5.4 L,Бензин,500,
Ford,GT II,2017–2022,,3.5 L,Бензин,660,
GMC,Yukon I,1992–1999,GMT400,5.7 L,Бензин,255,
GMC,Yukon II,2000–2006,GMT800,6.0 L,Бензин,325,
GMC,Yukon III,2007–2014,GMT900,6.2 L,Бензин,403,
GMC,Yukon IV,2015–2020,GMT K2XX,6.2 L,Бензин,420,
GMC,Yukon V,2021–н.в.,,6.2 L,Бензин,420,
GMC,Sierra 1500 I,1999–2006,GMT800,5.3 L,Бензин,285,
GMC,Sierra 1500 II,2007–2013,GMT900,6.2 L,Бензин,403,
GMC,Sierra 1500 III,2014–2018,GMT K2XX,6.2 L,Бензин,420,
GMC,Sierra 1500 IV,2019–н.в.,,6.2 L,Бензин,420,
GMC,Canyon I,2004–2012,,3.5 L,Бензин,220,
GMC,Canyon II,2012–2022,,3.6 L,Бензин,308,
GMC,Canyon III,2023–н.в.,,2.7 L,Бензин,310,
GMC,Acadia I,2007–2016,GMT960,3.6 L,Бензин,288,
GMC,Acadia II,2017–н.в.,,3.6 L,Бензин,310,
GMC,Terrain I,2010–2017,Theta,3.0 L,Бензин,264,
GMC,Terrain II,2018–н.в.,,2.0 L,Бензин,252,
GMC,Hummer EV,2022–н.в.,,0.0 L,Электро,1000,200
Jeep,Wagoneer I,1963–1983,SJ,6.6 L,Бензин,210,
Jeep,Wagoneer II,1984–1991,XJ,4.0 L,Бензин,190,
Jeep,Grand Wagoneer,1984–1991,SJ,5.9 L,Бензин,230,
Jeep,Grand Wagoneer L,2022–н.в.,,6.4 L,Бензин,471,
Jeep,Wrangler YJ,1987–1995,YJ,4.0 L,Бензин,190,
Jeep,Wrangler TJ,1997–2006,TJ,4.0 L,Бензин,190,
Jeep,Wrangler JK,2007–2017,JK,3.8 L,Бензин,202,
Jeep,Wrangler JL,2018–н.в.,JL,3.6 L,Бензин,285,
Jeep,Wrangler 4xe,2021–н.в.,JL,2.0 L,Гибрид,375,17.3
Jeep,Cherokee XJ,1984–2001,XJ,4.0 L,Бензин,190,
Jeep,Cherokee KL,2014–2023,KL,3.2 L,Бензин,271,
Jeep,Grand Cherokee ZJ,1993–1998,ZJ,5.2 L,Бензин,220,
Jeep,Grand Cherokee WJ,1999–2004,WJ,4.7 L,Бензин,235,
Jeep,Grand Cherokee WK,2005–2010,WK,5.7 L,Бензин,360,
Jeep,Grand Cherokee WK2,2011–2021,WK2,6.4 L,Бензин,475,
Jeep,Grand Cherokee WL,2022–н.в.,WL,3.6 L,Бензин,293,
Jeep,Grand Cherokee 4xe,2021–н.в.,WL,2.0 L,Гибрид,375,17.3
Jeep,Compass I,2007–2016,MK,2.4 L,Бензин,172,
Jeep,Compass II,2017–н.в.,,2.4 L,Бензин,180,
Jeep,Renegade,2015–н.в.,,1.3 L,Бензин,177,
Jeep,Gladiator,2020–н.в.,JT,3.6 L,Бензин,285,
Jeep,Gladiator 4xe,2024–н.в.,JT,2.0 L,Гибрид,375,17.3
Tesla,Roadster,2008–2012,,0.0 L,Электро,248,53
Tesla,Model S,2012–н.в.,,0.0 L,Электро,670,100
Tesla,Model S Plaid,2021–н.в.,,0.0 L,Электро,1020,100
Tesla,Model X,2015–н.в.,,0.0 L,Электро,670,100
Tesla,Model X Plaid,2021–н.в.,,0.0 L,Электро,1020,100
Tesla,Model 3,2017–н.в.,,0.0 L,Электро,450,82
Tesla,Model 3 Performance,2018–н.в.,,0.0 L,Электро,455,82
Tesla,Model Y,2020–н.в.,,0.0 L,Электро,456,82
Tesla,Model Y Performance,2020–н.в.,,0.0 L,Электро,456,82
Tesla,Cybertruck,2023–н.в.,,0.0 L,Электро,845,123
Tesla,Semi,2022–н.в.,,0.0 L,Электро,1000,500
Lincoln,Continental I,1939–1948,,5.5 L,Бензин,130,
Lincoln,Continental II,1956–1957,,6.0 L,Бензин,285,
Lincoln,Continental III,1958–1960,,6.8 L,Бензин,315,
Lincoln,Continental IV,1961–1969,,7.5 L,Бензин,320,
Lincoln,Continental V,1970–1979,,7.5 L,Бензин,165,
Lincoln,Continental VI,1982–1987,,5.0 L,Бензин,140,
Lincoln,Continental VII,1988–2002,,4.6 L,Бензин,275,
Lincoln,Continental VIII,2017–2020,,3.0 L,Бензин,400,
Lincoln,Navigator I,1998–2002,UN93,5.4 L,Бензин,300,
Lincoln,Navigator II,2003–2006,UN127,5.4 L,Бензин,300,
Lincoln,Navigator III,2007–2014,UN133,5.4 L,Бензин,310,
Lincoln,Navigator IV,2015–2017,UN133,3.5 L,Бензин,380,
Lincoln,Navigator V,2018–н.в.,,3.5 L,Бензин,450,
Lincoln,Aviator,2003–2005,UN127,4.6 L,Бензин,302,
Lincoln,Aviator II,2020–н.в.,,3.0 L,Бензин,400,
Lincoln,Aviator Grand Touring,2020–н.в.,,3.0 L,Гибрид,494,13.6
Lincoln,Nautilus,2019–н.в.,,2.7 L,Бензин,335,
Lincoln,Corsair,2020–н.в.,,2.0 L,Бензин,250,
Lincoln,Zephyr,2022–н.в.,,2.0 L,Бензин,245,
Plymouth,Barracuda,1964–1974,A-Body,7.2 L,Бензин,275,
Plymouth,Road Runner,1968–1980,B-Body,7.2 L,Бензин,335,
Plymouth,Voyager,1984–2000,S,3.3 L,Бензин,150,
Plymouth,Neon,1995–2001,PL,2.0 L,Бензин,132,
Plymouth,Prowler,1997–2002,LH,3.5 L,Бензин,253,
Pontiac,GTO,1964–1974,A-Body,7.0 L,Бензин,360,
Pontiac,Firebird,1967–2002,F-Body,5.7 L,Бензин,305,
Pontiac,Grand Prix,1962–2008,G,3.8 L,Бензин,200,
Pontiac,Bonneville,1957–2005,G,3.8 L,Бензин,205,
Pontiac,Grand Am,1973–2005,N,3.4 L,Бензин,175,
Pontiac,Sunfire,1995–2005,J,2.2 L,Бензин,140,
Pontiac,Vibe,2003–2009,8E,1.8 L,Бензин,130,
Ram,1500,2011–н.в.,,5.7 L,Бензин,395,
Ram,1500 TRX,2021–н.в.,,6.2 L,Бензин,702,
Ram,1500 REV,2024–н.в.,,0.0 L,Электро,654,168
Ram,2500,2011–н.в.,,6.7 L,Дизель,370,
Ram,3500,2011–н.в.,,6.7 L,Дизель,370,
Ram,ProMaster,2014–н.в.,,3.6 L,Бензин,280,
