Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Arrinera,Hussarya,2013–2018,,6.2 L,Бензин,800,
Arrinera,Hussarya 33,2018–н.в.,,6.2 L,Бензин,1100,
Ascari,A10,2008–2010,,5.0 L,Бензин,625,
Aston Martin,DB7,1994–2004,,5.9 L,Бензин,426,
Aston Martin,V8 Vantage,2005–2017,,4.7 L,Бензин,426,
Aston Martin,DB9,2004–2016,,5.9 L,Бензин,517,
Aston Martin,DBS,2007–2012,,5.9 L,Бензин,517,
Aston Martin,Vanquish,2012–2018,,6.0 L,Бензин,573,
Aston Martin,DB11,2016–2023,,5.2 L,Бензин,608,
Aston Martin,DB12,2023–н.в.,,4.0 L,Бензин,680,
Aston Martin,Vantage,2018–н.в.,,4.0 L,Бензин,510,
Aston Martin,DBS Superleggera,2018–2024,,5.2 L,Бензин,725,
Aston Martin,Rapide,2010–2020,,6.0 L,Бензин,477,
Audi,A1,2010–2018,8X,1.0 L,Бензин,95,
Audi,A1,2018–н.в.,GB,1.0 L,Бензин,95,
Audi,A2,1999–2005,8Z,1.4 L,Бензин,75,
Audi,A3,2012–2020,8V,1.4 L,Бензин,140,
Audi,A3,2012–2020,8V,2.0 L,Дизель,150,
Audi,A3,2020–н.в.,8Y,1.5 L,Бензин,150,
Audi,A4,2015–2023,B9,2.0 L,Бензин,190,
Audi,A4,2015–2023,B9,2.0 L,Дизель,190,
Audi,A5,2016–н.в.,F5,2.0 L,Бензин,252,
Audi,A5,2016–н.в.,F5,2.0 L,Дизель,190,
Audi,A6,2018–н.в.,C8,3.0 L,Бензин,340,
Audi,A6,2018–н.в.,C8,3.0 L,Дизель,286,
Audi,A7,2018–н.в.,C8,3.0 L,Бензин,340,
Audi,A8,2017–н.в.,D5,3.0 L,Бензин,340,
Audi,A8,2017–н.в.,D5,3.0 L,Дизель,286,
Audi,Q2,2016–н.в.,GA,1.0 L,Бензин,116,
Audi,Q3,2018–н.в.,F3,1.5 L,Бензин,150,
Audi,Q3,2018–н.в.,F3,2.0 L,Дизель,150,
Audi,Q4 e-tron,2021–н.в.,,0.0 L,Электро,204,82
Audi,Q5,2017–2023,FY,2.0 L,Бензин,190,
Audi,Q5,2017–2023,FY,2.0 L,Дизель,204,
Audi,Q6 e-tron,2024–н.в.,,0.0 L,Электро,402,102
Audi,Q7,2015–н.в.,4M,3.0 L,Дизель,286,
Audi,Q8,2018–н.в.,4M,3.0 L,Бензин,340,
Audi,e-tron,2018–2023,,0.0 L,Электро,408,95
Audi,e-tron GT,2021–н.в.,,0.0 L,Электро,530,93.4
Audi,S1,2014–2018,8X,2.0 L,Бензин,231,
Audi,S3,2020–н.в.,8Y,2.0 L,Бензин,310,
Audi,RS3,2021–н.в.,8Y,2.5 L,Бензин,400,
Audi,RS4,2017–2024,B9,2.9 L,Бензин,450,
Audi,RS5,2017–н.в.,F5,2.9 L,Бензин,450,
Audi,RS6,2019–н.в.,C8,4.0 L,Бензин,600,
Audi,RS7,2019–н.в.,C8,4.0 L,Бензин,605,
Audi,RS8 (концепт),,,4.0 L,Бензин,605,
Audi,SQ5,2017–н.в.,FY,3.0 L,Бензин,354,
Audi,SQ7,2016–н.в.,4M,4.0 L,Дизель,435,
Audi,S8,2020–н.в.,D5,4.0 L,Бензин,571,
Audi,TT,2014–2023,FV,2.0 L,Бензин,230,
Audi,R8,2015–2023,,5.2 L,Бензин,540,
Autobianchi,A112,1969–1986,,0.9 L,Бензин,48,
Autobianchi,A112 Abarth,1971–1985,,1.0 L,Бензин,70,
Autobianchi,Primula,1964–1970,,1.2 L,Бензин,65,
Autobianchi,Y10,1985–1995,,1.0 L,Бензин,45,
Autobianchi,Bianchina,1957–1970,,0.5 L,Бензин,21,
Bentley,Continental R,1991–2003,,6.75 L,Бензин,360,
Bentley,Arnage,1998–2009,,6.75 L,Бензин,456,
Bentley,Continental GT I,2003–2011,,6.0 L,Бензин,560,
Bentley,Continental GT II,2011–2018,,4.0 L,Бензин,507,
Bentley,Continental GT III,2018–н.в.,,4.0 L,Бензин,550,
Bentley,Bentayga,2016–н.в.,,4.0 L,Бензин,550,
Bentley,Flying Spur II,2013–2019,,6.0 L,Бензин,625,
Bentley,Flying Spur III,2020–н.в.,,4.0 L,Бензин,550,
Bentley,Azure,2024–н.в.,,4.0 L,Бензин,550,
BMW,1 Series (E81/E82/E87/E88),2004–2011,E8x,1.6 L,Бензин,122,
BMW,1 Series (F20/F21),2011–2019,F20,1.5 L,Бензин,136,
BMW,1 Series (F20/F21),2011–2019,F20,2.0 L,Дизель,190,
BMW,2 Series (F22/F23),2014–2021,F22,2.0 L,Бензин,184,
BMW,2 Series (F22/F23),2014–2021,F22,2.0 L,Дизель,190,
BMW,2 Series Gran Coupé,2020–н.в.,F44,2.0 L,Бензин,306,
BMW,3 Series (E30),1982–1994,E30,2.5 L,Бензин,170,
BMW,3 Series (E36),1990–2000,E36,3.0 L,Бензин,240,
BMW,3 Series (E46),1998–2006,E46,3.0 L,Бензин,231,
BMW,3 Series (E90/E91/E92/E93),2005–2013,E9x,3.0 L,Бензин,272,
BMW,3 Series (F30/F31/F34),2012–2019,F30,2.0 L,Бензин,184,
BMW,3 Series (G20/G21),2019–н.в.,G20,2.0 L,Бензин,184,
BMW,3 Series (G20/G21),2019–н.в.,G20,2.0 L,Дизель,190,
BMW,4 Series (F32/F33/F36),2013–2020,F32,2.0 L,Бензин,252,
BMW,4 Series (G22/G23/G26),2020–н.в.,G22,2.0 L,Бензин,258,
BMW,5 Series (E28),1981–1988,E28,3.5 L,Бензин,220,
BMW,5 Series (E34),1988–1996,E34,3.8 L,Бензин,286,
BMW,5 Series (E39),1995–2003,E39,3.0 L,Бензин,231,
BMW,5 Series (E60/E61),2003–2010,E60,3.0 L,Бензин,272,
BMW,5 Series (F10/F11),2010–2017,F10,3.0 L,Бензин,306,
BMW,5 Series (G30/G31),2017–2023,G30,2.0 L,Бензин,252,
BMW,5 Series (G30/G31),2017–2023,G30,3.0 L,Дизель,265,
BMW,6 Series (E24),1976–1989,E24,3.5 L,Бензин,218,
BMW,6 Series (E63/E64),2003–2010,E63,4.8 L,Бензин,367,
BMW,6 Series (F06/F12/F13),2011–2018,F12,4.4 L,Бензин,450,
BMW,6 Series (G32),2017–2023,G32,3.0 L,Бензин,320,
BMW,7 Series (E23),1977–1986,E23,3.2 L,Бензин,184,
BMW,7 Series (E32),1986–1994,E32,5.0 L,Бензин,300,
BMW,7 Series (E38),1994–2001,E38,5.4 L,Бензин,326,
BMW,7 Series (F01/F02),2008–2015,F01,4.4 L,Бензин,450,
BMW,7 Series (G11/G12),2015–2022,G11,4.4 L,Бензин,530,
BMW,7 Series (G70),2022–н.в.,G70,3.0 L,Бензин,381,
BMW,8 Series (E31),1990–1999,E31,4.4 L,Бензин,286,
BMW,8 Series (G15/G16),2018–н.в.,G15,4.4 L,Бензин,530,
BMW,Z3,1995–2002,E36/7,2.8 L,Бензин,193,
BMW,Z4 (E85/E86),2002–2008,E85,3.0 L,Бензин,231,
BMW,Z4 (E89),2009–2016,E89,3.0 L,Бензин,306,
BMW,Z4 (G29),2018–н.в.,G29,2.0 L,Бензин,197,
BMW,X1 (E84),2009–2015,E84,2.0 L,Бензин,184,
BMW,X1 (F48),2015–2022,F48,1.5 L,Бензин,140,
BMW,X1 (F48),2015–2022,F48,2.0 L,Дизель,150,
BMW,X1 (U11),2022–н.в.,U11,1.5 L,Бензин,140,
BMW,X2 (F39),2017–н.в.,F39,2.0 L,Бензин,192,
BMW,X3 (E83),2003–2010,E83,3.0 L,Бензин,272,
BMW,X3 (F25),2010–2017,F25,3.0 L,Бензин,306,
BMW,X3 (G01),2017–2024,G01,2.0 L,Бензин,184,
BMW,X3 (G01),2017–2024,G01,2.0 L,Дизель,190,
BMW,X4 (F26),2014–2018,F26,3.0 L,Бензин,306,
BMW,X4 (G02),2018–н.в.,G02,2.0 L,Бензин,252,
BMW,X5 (E53),1999–2006,E53,4.4 L,Бензин,286,
BMW,X5 (E70),2006–2013,E70,4.8 L,Бензин,355,
BMW,X5 (F15),2013–2018,F15,4.4 L,Бензин,450,
BMW,X5 (G05),2018–н.в.,G05,3.0 L,Бензин,381,
BMW,X5 (G05),2018–н.в.,G05,3.0 L,Дизель,340,
BMW,X6 (E71/E72),2008–2014,E71,4.4 L,Бензин,408,
BMW,X6 (F16),2014–2019,F16,4.4 L,Бензин,575,
BMW,X6 (G06),2019–н.в.,G06,3.0 L,Бензин,381,
BMW,X7 (G07),2019–н.в.,G07,3.0 L,Бензин,381,
BMW,M2 (F87),2016–2021,F87,3.0 L,Бензин,410,
BMW,M2 (G87),2022–н.в.,G87,3.0 L,Бензин,460,
BMW,M3 (E30),1986–1991,E30,2.3 L,Бензин,200,
BMW,M3 (E36),1992–1999,E36,3.2 L,Бензин,321,
BMW,M3 (E46),2000–2006,E46,3.2 L,Бензин,343,
BMW,M3 (E90/E92/E93),2007–2013,E9x,4.0 L,Бензин,420,
BMW,M3 (F80),2014–2020,F80,3.0 L,Бензин,431,
BMW,M3 (G80),2020–н.в.,G80,3.0 L,Бензин,510,
BMW,M5 (E34),1988–1995,E34,3.8 L,Бензин,340,
BMW,M5 (E39),1998–2003,E39,5.0 L,Бензин,400,
BMW,M5 (E60),2005–2010,E60,5.0 L,Бензин,507,
BMW,M5 (F90),2017–н.в.,F90,4.4 L,Бензин,600,
BMW,i3,2013–2022,I01,0.0 L,Электро,170,42.2
BMW,i4,2021–н.в.,G26,0.0 L,Электро,340,83.9
BMW,i5,2023–н.в.,G60,0.0 L,Электро,340,84.3
BMW,i7,2022–н.в.,G70,0.0 L,Электро,544,105.7
BMW,iX,2021–н.в.,I20,0.0 L,Электро,523,111.5
BMW,iX1,2022–н.в.,U11,0.0 L,Электро,313,64.7
BMW,iX3,2020–н.в.,G08,0.0 L,Электро,286,73.9
Bond,Echo,1960–1962,,0.7 L,Бензин,30,
Bond,Equipe,1963–1970,,1.2 L,Бензин,60,
Bristol,404,1953–1958,,2.0 L,Бензин,105,
Bristol,405,1955–1958,,2.2 L,Бензин,105,
Bristol,406,1958–1961,,2.2 L,Бензин,105,
Bristol,407,1961–1963,,5.1 L,Бензин,250,
Bristol,408,1963–1966,,5.2 L,Бензин,250,
Bristol,410,1966–1969,,6.3 L,Бензин,280,
Bristol,411,1969–1976,,6.3 L,Бензин,300,
Bristol,412,1975–1986,,5.9 L,Бензин,225,
Bristol,Blitz,1962–1964,,5.1 L,Бензин,250,
Bristol,Blenheim,1993–2011,,5.9 L,Бензин,330,
Bristol,Brigand,1994–2000,,5.9 L,Бензин,330,
Bristol,Bullet,2016–2020,,4.8 L,Бензин,370,
Bugatti,Veyron,2005–2015,,8.0 L,Бензин,1001,
Bugatti,Chiron,2016–2022,,8.0 L,Бензин,1500,
Bugatti,Mistral,2024–н.в.,,8.0 L,Бензин,1600,
Bugatti,Bolide,2024–н.в.,,8.0 L,Бензин,1850,
Citroën,AX,1986–1998,,1.1 L,Бензин,50,
Citroën,BX,1982–1994,,1.9 L,Бензин,128,
Citroën,XM,1989–2000,,3.0 L,Бензин,194,
Citroën,Xantia,1993–2001,,2.0 L,Бензин,135,
Citroën,Xsara,1997–2006,,2.0 L,Бензин,136,
Citroën,Xsara Picasso,1999–2010,,2.0 L,Бензин,136,
Citroën,C2,2003–2009,,1.6 L,Бензин,125,
Citroën,C3 I,2002–2009,,1.6 L,Бензин,110,
Citroën,C3 II,2009–2016,,1.6 L,Бензин,120,
Citroën,C3 III,2016–н.в.,,1.2 L,Бензин,82,
Citroën,C3 IV,2023–н.в.,,1.2 L,Бензин,110,
Citroën,C3 Aircross,2017–н.в.,,1.2 L,Бензин,110,
Citroën,C4 I,2004–2010,,2.0 L,Бензин,180,
Citroën,C4 II,2010–2020,,1.6 L,Бензин,120,
Citroën,C4 III,2020–н.в.,,1.2 L,Бензин,130,
Citroën,C4 III,2020–н.в.,,0.0 L,Электро,136,50
Citroën,ë-C4,2020–н.в.,,0.0 L,Электро,136,50
Citroën,C5 I,2001–2008,,3.0 L,Бензин,211,
Citroën,C5 II,2008–2017,,2.2 L,Дизель,173,
Citroën,C5 III,2017–2022,,2.0 L,Дизель,180,
Citroën,C5 Aircross,2018–н.в.,,1.5 L,Дизель,130,
Citroën,C5 X,2021–н.в.,,1.2 L,Бензин,130,
Citroën,C6,2005–2012,,3.0 L,Бензин,211,
Citroën,C8,2002–2014,,2.2 L,Дизель,136,
Citroën,Berlingo I,1996–2008,,1.9 L,Дизель,65,
Citroën,Berlingo II,2008–2018,,1.6 L,Дизель,90,
Citroën,Berlingo III,2018–н.в.,,1.5 L,Дизель,102,
Citroën,Berlingo Electric,2021–н.в.,,0.0 L,Электро,136,50
Citroën,Jumpy I,1994–2006,,2.0 L,Дизель,90,
Citroën,Jumpy II,2006–2016,,2.0 L,Дизель,120,
Citroën,Jumpy III,2016–н.в.,,2.0 L,Дизель,180,
Citroën,ë-Jumpy,2020–н.в.,,0.0 L,Электро,136,75
Citroën,Ami,2020–н.в.,,0.0 L,Электро,8,5.5
Cupra,Ibiza Cupra,2000–2008,,1.8 L,Бензин,180,
Cupra,León Cupra Mk2,2007–2012,,2.0 L,Бензин,265,
Cupra,León Cupra Mk3,2014–2020,,2.0 L,Бензин,300,
Cupra,León,2020–н.в.,,2.0 L,Бензин,300,
Cupra,Formentor,2020–н.в.,,1.5 L,Бензин,150,
Cupra,Formentor,2020–н.в.,,2.0 L,Бензин,300,
Cupra,Ateca,2018–н.в.,,2.0 L,Бензин,300,
Cupra,Born,2021–н.в.,,0.0 L,Электро,204,62
Cupra,Terramar,2024–н.в.,,1.5 L,Гибрид,272,20.4
Dacia,1300/1310,1969–2004,,1.3 L,Бензин,65,
Dacia,Nova,1983–1994,,1.4 L,Бензин,65,
Dacia,Solenza,2003–2005,,1.4 L,Бензин,75,
Dacia,Logan I,2004–2012,,1.6 L,Бензин,90,
Dacia,Logan II,2012–2017,,1.6 L,Бензин,90,
Dacia,Logan III,2017–н.в.,,1.0 L,Бензин,75,
Dacia,Sandero I,2008–2012,,1.6 L,Бензин,90,
Dacia,Sandero II,2012–2020,,1.6 L,Бензин,102,
Dacia,Sandero III,2020–н.в.,,1.0 L,Бензин,65,
Dacia,Duster I,2010–2017,,1.6 L,Бензин,110,
Dacia,Duster II,2017–2024,,1.3 L,Бензин,150,
Dacia,Duster III,2024–н.в.,,1.0 L,Бензин,100,
Dacia,Duster,2018–н.в.,,1.5 L,Дизель,115,
Dacia,1310 Pick-Up,1982–2006,,1.4 L,Бензин,65,
Dacia,Dokker,2012–н.в.,,1.5 L,Дизель,95,
Dacia,Lodgy,2012–2022,,1.5 L,Дизель,109,
Dacia,Jogger,2021–н.в.,,1.0 L,Бензин,100,
Dacia,Spring,2021–н.в.,,0.0 L,Электро,45,27.4
Davanti,Typhoon,2023–н.в.,,2.0 L,Бензин,275,
De Tomaso,Mangusta,1967–1971,,4.7 L,Бензин,306,
De Tomaso,Pantera,1971–1992,,5.8 L,Бензин,330,
De Tomaso,Longchamp,1972–1989,,5.8 L,Бензин,330,
De Tomaso,Deauville,1970–1985,,5.8 L,Бензин,330,
De Tomaso,Vallelunga,1964–1968,,1.5 L,Бензин,104,
De Tomaso,Guarà,1993–2004,,4.6 L,Бензин,306,
Donkervoort,D8,1993–1998,,1.8 L,Бензин,140,
Donkervoort,D8 Zetec,2000–2004,,2.0 L,Бензин,175,
Donkervoort,D8 Cosworth,2004–2005,,2.0 L,Бензин,220,
Donkervoort,D8 270RS,2005–2007,,2.3 L,Бензин,270,
Donkervoort,D8 GTO,2012–2015,,2.0 L,Бензин,280,
Donkervoort,D8 GTO-40,2015–2018,,2.0 L,Бензин,340,
Donkervoort,D8 GTO JD-70,2018–2020,,2.5 L,Бензин,415,
Donkervoort,D8 GTO Individual Series,2020–2022,,2.5 L,Бензин,500,
Donkervoort,F22,2022–н.в.,,2.5 L,Бензин,500,
Facel Vega,Excellence,1958–1961,,5.8 L,Бензин,325,
Facel Vega,HK500,1958–1962,,5.8 L,Бензин,325,
Facel Vega,FV,1954–1959,,5.4 L,Бензин,290,
Ferrari,Testarossa,1984–1996,,4.9 L,Бензин,390,
Ferrari,F355,1994–1999,,3.5 L,Бензин,380,
Ferrari,360 Modena,1999–2005,,3.6 L,Бензин,400,
Ferrari,F430,2004–2009,,4.3 L,Бензин,490,
Ferrari,458 Italia,2009–2015,,4.5 L,Бензин,570,
Ferrari,488 GTB,2015–2020,,3.9 L,Бензин,670,
Ferrari,F8 Tributo,2019–2023,,3.9 L,Бензин,720,
Ferrari,Roma,2020–н.в.,,3.9 L,Бензин,620,
Ferrari,SF90 Stradale,2019–н.в.,,4.0 L,Гибрид,1000,7.9
Ferrari,Purosangue,2022–н.в.,,3.9 L,Бензин,725,
Ferrari,Enzo,2002–2004,,6.0 L,Бензин,660,
Ferrari,LaFerrari,2013–2018,,6.3 L,Гибрид,963,2.9
Fiat,500 (Classic),1957–1975,,0.5 L,Бензин,18,
Fiat,126,1972–2000,,0.6 L,Бензин,23,
Fiat,Uno,1983–1995,,1.4 L,Бензин,75,
Fiat,Punto Mk1,1993–1999,,1.8 L,Бензин,130,
Fiat,Punto Mk2,1999–2005,,1.8 L,Бензин,130,
Fiat,Punto Mk3,2005–2012,,1.4 L,Бензин,95,
Fiat,Bravo/Brava,1995–2001,,2.0 L,Бензин,155,
Fiat,Bravo II,2007–2014,,1.8 L,Бензин,120,
Fiat,Stilo,2001–2007,,2.4 L,Бензин,170,
Fiat,500 (Nuova),2007–2019,,1.2 L,Бензин,69,
Fiat,500 (2020),2020–н.в.,,0.0 L,Электро,118,42
Fiat,124 Spider (Classic),1966–1985,,2.0 L,Бензин,140,
Fiat,124 Spider (Modern),2016–2020,,1.4 L,Бензин,140,
Fiat,Panda I,1980–2003,,1.4 L,Бензин,55,
Fiat,Panda II,2003–2011,,1.4 L,Бензин,77,
Fiat,Panda III,2011–2018,,1.3 L,Дизель,95,
Fiat,Panda IV,2018–н.в.,,1.0 L,Бензин,70,
Fiat,500X,2014–н.в.,,1.3 L,Дизель,95,
Fiat,500X,2014–н.в.,,1.3 L,Бензин,150,
Fiat,500L,2012–н.в.,,1.4 L,Бензин,120,
Fiat,Tipo I,1988–1995,,2.0 L,Бензин,140,
Fiat,Tipo II,2015–н.в.,,1.4 L,Бензин,95,
Fiat,Strada,2020–н.в.,,1.4 L,Бензин,95,
Fiat,Qubo,2008–2020,,1.3 L,Дизель,75,
Fiat,Multipla,1998–2010,,1.9 L,Дизель,105,
Fiat,Ulysse I,1994–2002,,2.0 L,Бензин,136,
Fiat,Ulysse II,2002–2010,,2.2 L,Дизель,136,
Fiat,Ulysse III,2022–н.в.,,2.0 L,Дизель,140,
Fiat,Coupe,1993–2000,,2.0 L,Бензин,220,
Fiat,Barchetta,1995–2005,,1.8 L,Бензин,132,
Fiat,Croma I,1985–1996,,2.0 L,Бензин,140,
Fiat,Croma II,2005–2010,,2.4 L,Бензин,175,
Fiat,Fullback,2016–2020,,2.4 L,Дизель,181,
Fiat,Egea,2015–н.в.,,1.4 L,Бензин,95,
Fiat,Doblo I,2000–2010,,1.9 L,Дизель,105,
Fiat,Doblo II,2010–2022,,1.6 L,Дизель,120,
Fiat,Scudo I,1996–2006,,2.0 L,Дизель,90,
Fiat,Scudo II,2006–2016,,2.0 L,Дизель,120,
Fiat,Scudo III,2022–н.в.,,2.0 L,Дизель,120,
Fisker,Ocean,2023–н.в.,,0.0 L,Электро,550,113
Fisker,Karma,2011–2012,,2.0 L,Гибрид,403,20.1
Ginetta,G20,1967–1974,,1.6 L,Бензин,100,
Ginetta,G26/G27,1984–1992,,2.0 L,Бензин,130,
Ginetta,G32/G33,1991–1994,,2.9 L,Бензин,190,
Ginetta,G40,2009–2016,,3.7 L,Бензин,300,
Ginetta,G50,2008–2010,,3.7 L,Бензин,300,
Ginetta,G55,2011–н.в.,,3.7 L,Бензин,370,
Ginetta,G55 GT3,2012–н.в.,,4.35 L,Бензин,500,
Ginetta,G56,2016–н.в.,,6.2 L,Бензин,450,
Ginetta,G56 GTA,2020–н.в.,,6.2 L,Бензин,500,
Ginetta,G56 GTR,2020–н.в.,,6.2 L,Бензин,600,
Ginetta,G60,2021–н.в.,,2.9 L,Бензин,400,
Ginetta,Akula,2019–н.в.,,6.2 L,Бензин,600,
Ginetta,F400,2005–2008,,4.0 L,Бензин,380,
Ginetta,Electric Concept (прототип),2022–н.в.,,0.0 L,Электро,500,80
Gumpert,Apollo S,2005–2013,,4.2 L,Бензин,650,
Gumpert,Apollo IE,2018–2021,,6.3 L,Бензин,780,
Hispano-Suiza,H6,1919–1933,,8.0 L,Бензин,160,
Hispano-Suiza,J12,1931–1938,,9.5 L,Бензин,220,
Hispano-Suiza,Carmen,2020–н.в.,,0.0 L,Электро,1005,80
Hispano-Suiza,Carmen Boulogne,2022–н.в.,,0.0 L,Электро,1114,80
Innocenti,Mini,1974–1982,,1.0 L,Бензин,60,
Innocenti,Mini Cooper,1974–1982,,1.3 L,Бензин,80,
Innocenti,Mini 90/120,1982–1993,,1.3 L,Бензин,63,
Innocenti,Maserati Elba,1990–1993,,2.0 L,Бензин,150,
IVECO,Daily Van I,1978–1999,,2.5 L,Дизель,75,
IVECO,Daily Van II,1999–2014,,3.0 L,Дизель,110,
IVECO,Daily Van III,2014–н.в.,,2.3 L,Дизель,120,
Jaguar,XJ-S,1975–1996,,5.3 L,Бензин,285,
Jaguar,XK8,1996–2005,X100,4.0 L,Бензин,294,
Jaguar,XKR,1998–2005,X100,4.0 L,Бензин,370,
Jaguar,X-Type,2001–2009,,3.0 L,Бензин,231,
Jaguar,S-Type,1999–2008,,3.0 L,Бензин,236,
Jaguar,XF (X250),2008–2015,X250,3.0 L,Бензин,240,
Jaguar,XF (X260),2015–2023,X260,2.0 L,Дизель,180,
Jaguar,XE,2015–2024,X760,2.0 L,Бензин,250,
Jaguar,F-Type,2013–н.в.,X152,3.0 L,Бензин,380,
Jaguar,F-PACE,2016–н.в.,X761,2.0 L,Бензин,250,
Jaguar,I-PACE,2018–н.в.,X590,0.0 L,Электро,400,90
Jaguar,XJ (X350),2003–2009,X350,4.2 L,Бензин,300,
Jaguar,XJ (X351),2010–2019,X351,5.0 L,Бензин,550,
Jensen,Interceptor MkI,1966–1969,,6.3 L,Бензин,325,
Jensen,Interceptor MkII,1969–1971,,6.3 L,Бензин,325,
Jensen,Interceptor MkIII,1971–1976,,7.2 L,Бензин,330,
Jensen,FF,1966–1971,,6.3 L,Бензин,325,
Jensen-Healey,1972–1975,,2.0 L,Бензин,130,
Koenigsegg,CC8S,2002–2003,,4.7 L,Бензин,655,
Koenigsegg,CCR,2004–2006,,4.7 L,Бензин,806,
Koenigsegg,CCX,2006–2010,,4.8 L,Бензин,795,
Koenigsegg,One:1,2014–2016,,5.0 L,Бензин,1360,
Koenigsegg,Agera R,2011–2014,,5.0 L,Бензин,1140,
Koenigsegg,Agera RS,2015–2018,,5.0 L,Бензин,1360,
Koenigsegg,Regera,2016–н.в.,,5.0 L,Гибрид,1500,4.5
Koenigsegg,Jesko,2022–н.в.,,5.0 L,Бензин,1600,
Koenigsegg,Jesko Absolut,2022–н.в.,,5.0 L,Бензин,1600,
Koenigsegg,Gemera,2023–н.в.,,2.0 L,Гибрид,1700,15
Lada,Riva (1300),1980–2012,,1.3 L,Бензин,60,
Lada,Niva,1977–н.в.,,1.7 L,Бензин,80,
Lamborghini,Countach,1974–1990,,5.2 L,Бензин,455,
Lamborghini,Diablo,1990–2001,,5.7 L,Бензин,492,
Lamborghini,Murciélago,2001–2010,,6.5 L,Бензин,640,
Lamborghini,Gallardo,2003–2013,,5.0 L,Бензин,520,
Lamborghini,Huracán,2014–2024,,5.2 L,Бензин,640,
Lamborghini,Aventador,2011–2022,,6.5 L,Бензин,780,
Lamborghini,Urus,2018–н.в.,,4.0 L,Бензин,650,
Lamborghini,Revuelto,2023–н.в.,,6.5 L,Гибрид,1015,15
Lancia,Beta,1972–1984,,2.0 L,Бензин,130,
Lancia,Delta I,1979–1994,,2.0 L,Бензин,130,
Lancia,Delta II,2008–2014,,1.4 L,Бензин,120,
Lancia,Delta HF Integrale,1987–1994,,2.0 L,Бензин,215,
Lancia,Thema I,1984–1994,,3.0 L,Бензин,180,
Lancia,Thema II,2011–2014,,2.0 L,Бензин,200,
Lancia,Ypsilon I,1995–2003,,1.2 L,Бензин,60,
Lancia,Ypsilon II,2003–2011,,1.4 L,Бензин,95,
Lancia,Ypsilon III,2011–н.в.,,1.2 L,Бензин,69,
Lancia,Ypsilon III,2011–н.в.,,0.9 L,Бензин,85,
Lancia,Fulvia,1967–1976,,1.6 L,Бензин,130,
Land Rover,Range Rover Classic,1970–1996,,3.9 L,Бензин,195,
Land Rover,Range Rover P38,1994–2002,,4.6 L,Бензин,230,
