Марка,Модель,Годы выпуска,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Lotus,Eletre,2023–н.в.,0.0 L,Электро,612,112
Aston Martin,DB7,1994–2004,5.9 L,Бензин,426,
Aston Martin,V8 Vantage,2005–2017,4.7 L,Бензин,426,
Aston Martin,DB9,2004–2016,5.9 L,Бензин,517,
Aston Martin,DBS,2007–2012,5.9 L,Бензин,517,
Aston Martin,Vanquish,2012–2018,6.0 L,Бензин,573,
Aston Martin,DB11,2016–2023,5.2 L,Бензин,608,
Aston Martin,DB12,2023–н.в.,4.0 L,Бензин,680,
Aston Martin,Vantage,2018–н.в.,4.0 L,Бензин,510,
Aston Martin,DBS Superleggera,2018–2024,5.2 L,Бензин,725,
Aston Martin,Rapide,2010–2020,6.0 L,Бензин,477,
McLaren,F1,1992–1998,6.1 L,Бензин,627,
McLaren,MP4-12C,2011–2014,3.8 L,Бензин,600,
McLaren,650S,2014–2017,3.8 L,Бензин,650,
McLaren,720S,2017–2023,4.0 L,Бензин,720,
McLaren,Artura,2021–н.в.,3.0 L,Гибрид,680,7.4
McLaren,GT,2019–н.в.,4.0 L,Бензин,620,
MG,MG F,1995–2002,1.8 L,Бензин,145,
MG,TF,2002–2005,1.8 L,Бензин,160,
MG,3,2011–н.в.,1.5 L,Бензин,106,
MG,ZS EV,2019–н.в.,0.0 L,Электро,143,51.1
MG,4 EV,2022–н.в.,0.0 L,Электро,286,64
Morgan,Plus 8,1968–2004,4.0 L,Бензин,202,
Morgan,Plus 4,1950–2020,2.0 L,Бензин,150,
Morgan,3 Wheeler,2011–2021,2.0 L,Бензин,115,
Morgan,Plus Six,2019–н.в.,3.0 L,Бензин,335,
TVR,Griffith,1991–2002,5.0 L,Бензин,400,
TVR,Tuscan,1999–2006,4.0 L,Бензин,360,
TVR,Sagaris,2004–2006,4.0 L,Бензин,406,
